Player,Year,Pk,College,G,VORP,MP,Pk_redraft_vorp,Bust_steal
Marcus Banks,2003,13,University of Nevada Las Vegas,348,-0.6,5571,27,-8.7
Luke Ridnour,2003,14,University of Oregon,830,5.8,21623,17,-2.1
Reece Gaines,2003,15,University of Louisville,71,-0.9,605,37,-12.9
Troy Bell,2003,16,Boston College,6,-0.1,34,38,-12.8
Zarko Cabarkapa,2003,17,,150,-1.3,1550,31,-7.1
David West,2003,18,Xavier University,893,23.6,27291,5,19.1
Sasha Pavlovic,2003,19,,567,-3.2,8888,34,-7.2
Dahntay Jones,2003,20,Duke University,623,-4.1,9787,35,-7.7
Boris Diaw,2003,21,,991,19.8,27485,6,16.4
Zoran Planinic,2003,22,,148,-0.9,1584,29,-2.8
Travis Outlaw,2003,23,,622,-0.9,13026,30,-2.2
Brian Cook,2003,24,University of Illinois at Urbana-Champaign,421,-0.6,5649,28,-1.4
Carlos Delfino,2003,25,,507,8.1,11580,13,8.1
Ndudi Ebi,2003,26,,19,-0.1,86,39,-5.8
Kendrick Perkins,2003,27,,781,7.0,17147,15,7.6
Leandro Barbosa,2003,28,,783,7.9,17423,14,8.5
Josh Howard,2003,29,Wake Forest University,507,10.3,15350,10,11.2
Maciej Lampe,2003,30,,64,-1.1,632,40,-5.0
Jason Kapono,2003,31,University of California Los Angeles,509,-2.3,9068,33,-1.0
Luke Walton,2003,32,University of Arizona,564,1.9,9685,22,4.1
Jerome Beasley,2003,33,University of North Dakota,2,0.0,5,41,-3.6
Sofoklis Schortsanitis,2003,34,,,,,42,-2.7
Szymon Szewczyk,2003,35,,,,,43,-1.8
Mario Austin,2003,36,Mississippi State University,,,,44,0.0
Travis Hansen,2003,37,Brigham Young University,41,-0.4,507,45,0
Steve Blake,2003,38,University of Maryland,870,1.3,20823,23,7.2
Slavko Vranes,2003,39,,1,0.0,3,46,0
Derrick Zimmerman,2003,40,Mississippi State University,2,-0.1,32,47,0
Willie Green,2003,41,University of Detroit Mercy,731,-5.9,14783,36,0.0
Zaza Pachulia,2003,42,,891,6.9,19122,16,12.8
Keith Bogans,2003,43,University of Kentucky,671,4.5,14527,18,10.4
Malick Badiane,2003,44,,,,,48,0
Matt Bonner,2003,45,University of Florida,792,10.1,13356,11,16.0
Sani Becirovic,2003,46,,,,,49,0
Mo Williams,2003,47,University of Alabama,818,8.9,23872,12,14.8
James Lang,2003,48,,11,0.0,55,50,0
James Jones,2003,49,University of Miami,661,4.0,10717,19,9.9
Paccelis Morlende,2003,50,,,,,51,0
Kyle Korver,2003,51,Creighton University,964,19.4,25562,7,25.3
Remon Van de Hare,2003,52,,,,,52,0
Tommy Smith,2003,53,Arizona State University,,,,53,0
Nedzad Sinanovic,2003,54,,,,,54,0
Rick Rickert,2003,55,University of Minnesota,,,,55,0
Brandon Hunter,2003,56,Ohio University,67,-0.5,630,56,0
Xue Yuyang,2003,57,,,,,57,0
Andreas Glyniadakis,2003,58,,13,-0.2,81,58,0
Dwight Howard,2004,1,,880,36.5,31092,2,-4.0
Emeka Okafor,2004,2,University of Connecticut,590,7.5,18702,16,-29.0
Ben Gordon,2004,3,University of Connecticut,744,4.7,20366,18,-25.3
Shaun Livingston,2004,4,,622,1.9,13747,22,-20.8
Devin Harris,2004,5,University of Wisconsin,781,13.3,20465,8,-7.5
Josh Childress,2004,6,Stanford University,391,8.6,10432,13,-6.5
Luol Deng,2004,7,Duke University,823,22.7,29050,4,8.4
Rafael Araujo,2004,8,Brigham Young University,139,-1.8,1585,31,-15.1
Andre Iguodala,2004,9,University of Arizona,900,40.5,31836,1,27.2
Luke Jackson,2004,10,University of Oregon,73,-0.4,724,34,-19.0
Andris Biedrins,2004,11,,516,8.6,11146,14,-4.0
Robert Swift,2004,12,,97,-0.8,1500,28,-12.1
Sebastian Telfair,2004,13,,564,-5.8,12149,33,-14.4
Kris Humphries,2004,14,University of Minnesota,744,0.2,13543,23,-8.4
Al Jefferson,2004,15,,813,15.1,24884,6,7.5
Kirk Snyder,2004,16,University of Nevada Reno,211,0.0,3540,25,-7.5
Josh Smith,2004,17,,891,30.0,28988,3,22.6
J.R. Smith,2004,18,,839,14.3,22543,7,9.6
Dorell Wright,2004,19,,549,7.4,12280,17,5.2
Jameer Nelson,2004,20,Saint Joseph's University,753,13.2,21481,10,11.1
Pavel Podkolzin,2004,21,,6,-0.1,28,35,-7.8
Viktor Khryapa,2004,22,,143,0.1,2351,24,-1.8
Sergei Monia,2004,23,,26,-0.3,343,36,-6.0
Delonte West,2004,24,Saint Joseph's University,432,7.6,11842,15,7.5
Tony Allen,2004,25,Oklahoma State University,727,12.6,15868,11,12.6
Kevin Martin,2004,26,Western Carolina University,714,11.3,21559,12,11.3
Sasha Vujacic,2004,27,,539,2.2,8500,19,2.7
Beno Udrih,2004,28,,792,2.1,17625,20,2.9
David Harrison,2004,29,University of Colorado,189,-1.0,2686,29,0.0
Anderson Varejao,2004,30,,613,13.3,14959,9,14.7
Jackson Vroman,2004,31,Iowa State University,87,-0.5,1111,27,1.3
Peter John Ramos,2004,32,,6,-0.1,20,37,-3.0
Lionel Chalmers,2004,33,Xavier University,36,-0.5,433,38,0.0
Donta Smith,2004,34,Southeastern Illinois College,61,-0.2,560,39,0
Andre Emmett,2004,35,Texas Tech University,14,-0.1,73,40,0
Antonio Burks,2004,36,University of Memphis,81,-0.9,789,41,0
Royal Ivey,2004,37,University of Texas at Austin,492,-2.8,6162,32,3.0
Chris Duhon,2004,38,Duke University,606,2.0,15526,21,7.8
Albert Miralles,2004,39,,,,,42,0
Justin Reed,2004,40,University of Mississippi,136,-1.4,1436,30,4.4
David Young,2004,41,North Carolina Central University,,,,43,0
Viktor Sanikidze,2004,42,,,,,44,0
Trevor Ariza,2004,43,University of California Los Angeles,795,20.8,22766,5,26.6
Tim Pickett,2004,44,Florida State University,,,,45,0
Bernard Robinson,2004,45,University of Michigan,128,0.0,1909,26,5.8
Ha Seung-Jin,2004,46,,46,-0.5,316,46,0
Pape Sow,2004,47,California State University Fullerton,76,-0.6,879,47,0
Ricky Minard,2004,48,Morehead State University,,,,48,0
Sergei Lishouk,2004,49,,,,,49,0
Vassilis Spanoulis,2004,50,,31,-0.3,272,50,0
Christian Drejer,2004,51,University of Florida,,,,51,0
Romain Sato,2004,52,Xavier University,,,,52,0
Matt Freije,2004,53,Vanderbilt University,42,-0.6,588,53,0
Rickey Paulding,2004,54,University of Missouri,,,,54,0
Luis Flores,2004,55,Manhattan College,16,-0.1,77,55,0
Marcus Douthit,2004,56,Providence College,,,,56,0
Sergei Karaulov,2004,57,,,,,57,0
Blake Stepp,2004,58,Gonzaga University,,,,58,0
Rashad Wright,2004,59,University of Georgia,,,,59,0
Andrew Bogut,2005,1,University of Utah,644,21.2,18929,3,-45.2
Marvin Williams,2005,2,University of North Carolina,785,8.6,22596,11,-15.3
Deron Williams,2005,3,University of Illinois at Urbana-Champaign,781,23.9,27208,2,2.7
Chris Paul,2005,4,Wake Forest University,773,66.4,27725,1,46.1
Raymond Felton,2005,5,University of North Carolina,776,10.0,25385,9,-7.4
Martell Webster,2005,6,,580,4.6,13914,20,-11.5
Charlie Villanueva,2005,7,University of Connecticut,656,0.6,13578,26,-11.9
Channing Frye,2005,8,University of Arizona,727,8.6,17338,12,-2.7
Ike Diogu,2005,9,Arizona State University,225,-2.0,2795,39,-12.0
Andrew Bynum,2005,10,,418,9.0,10690,10,0.0
Fran Vazquez,2005,11,,,,,44,-12.6
Yaroslav Korolev,2005,12,,34,-0.2,168,45,-12.6
Sean May,2005,13,University of North Carolina,119,-0.2,1868,31,-8.5
Rashad McCants,2005,14,University of North Carolina,249,-0.6,5037,32,-8.4
Antoine Wright,2005,15,Texas A&amp;M University,297,-1.5,5714,38,-7.8
Joey Graham,2005,16,Oklahoma State University,377,-2.8,6117,41,-8.8
Danny Granger,2005,17,University of New Mexico,586,16.1,18487,6,10.4
Gerald Green,2005,18,,497,-0.7,10086,33,-6.1
Hakim Warrick,2005,19,Syracuse University,526,-2.9,10624,42,-7.8
Julius Hodge,2005,20,North Carolina State University,23,-0.1,98,46,-8.6
Nate Robinson,2005,21,University of Washington,618,7.8,13878,14,4.3
Jarrett Jack,2005,22,Georgia Institute of Technology,803,5.7,22559,17,2.3
Francisco Garcia,2005,23,University of Louisville,549,4.9,11853,19,1.7
Luther Head,2005,24,University of Illinois at Urbana-Champaign,348,3.2,7797,23,0.1
Johan Petro,2005,25,,473,-4.0,7262,43,-6.3
Jason Maxiell,2005,26,University of Cincinnati,618,0.1,11379,28,-0.5
Linas Kleiza,2005,27,University of Missouri,409,-0.9,8185,37,-1.1
Ian Mahinmi,2005,28,,438,3.1,7347,24,3.0
Wayne Simien,2005,29,University of Kansas,51,-0.4,507,47,-4.1
David Lee,2005,30,University of Florida,750,20.3,22816,4,20.3
Salim Stoudamire,2005,31,University of Arizona,157,-2.1,2672,40,-1.9
Daniel Ewing,2005,32,Duke University,127,-0.7,1683,34,-0.1
Brandon Bass,2005,33,Louisiana State University,706,3.5,15833,21,4.2
C.J. Miles,2005,34,,639,3.4,13152,22,4.1
Ricky Sanchez,2005,35,,,,,48,-3.3
Ersan Ilyasova,2005,36,,527,6.3,12721,15,7.0
Ronny Turiaf,2005,37,Gonzaga University,473,6.0,8020,16,6.9
Travis Diener,2005,38,Marquette University,179,0.1,2660,29,1.6
Von Wafer,2005,39,Florida State University,200,-0.7,2475,35,1.3
Monta Ellis,2005,40,,759,12.5,27013,7,14.6
Roko Ukic,2005,41,,85,-0.8,987,49,-1.2
Chris Taft,2005,42,University of Pittsburgh,17,0.0,144,50,-1.1
Mile Ilic,2005,43,,5,-0.1,6,51,0.0
Martynas Andriuskevicius,2005,44,,6,0.0,9,52,0
Louis Williams,2005,45,,701,8.3,16442,13,12.3
Erazem Lorbek,2005,46,,,,,53,0
Bracey Wright,2005,47,Indiana University,26,-0.1,325,54,0
Mickael Gelabale,2005,48,,145,0.0,2348,30,4.0
Andray Blatche,2005,49,,564,5.4,12462,18,9.4
Ryan Gomes,2005,50,Providence College,487,2.3,13463,25,6.3
Robert Whaley,2005,51,Walsh University,23,-0.1,212,55,0
Axel Hervelle,2005,52,,,,,56,0
Orien Greene,2005,53,University of Louisiana at Lafayette,131,-0.7,1555,36,3.3
Dijon Thompson,2005,54,University of California Los Angeles,16,-0.1,93,57,0
Lawrence Roberts,2005,55,Mississippi State University,87,0.2,1150,27,4.2
Amir Johnson,2005,56,,665,17.4,15015,5,21.4
Marcin Gortat,2005,57,,595,11.3,15309,8,15.3
Uros Slokar,2005,58,,20,-0.1,72,58,0
Cenk Akyol,2005,59,,,,,59,0
Alex Acker,2005,60,Pepperdine University,30,-0.3,234,60,0
Andrea Bargnani,2006,1,,550,-0.9,15806,27,-31.7
LaMarcus Aldridge,2006,2,University of Texas at Austin,722,20.7,25233,4,-5.9
Adam Morrison,2006,3,Gonzaga University,161,-2.9,3278,35,-23.8
Tyrus Thomas,2006,4,Louisiana State University,402,1.7,7932,14,-19.0
Shelden Williams,2006,5,Duke University,361,-1.2,5586,30,-17.3
Brandon Roy,2006,6,University of Washington,326,15.2,11561,6,0.0
Randy Foye,2006,7,Villanova University,683,4.0,17995,11,-8.0
Rudy Gay,2006,8,University of Connecticut,723,16.1,25802,5,5.4
Patrick O'Bryant,2006,9,Bradley University,90,-0.2,524,36,-11.0
Mouhamed Sene,2006,10,,47,-0.5,260,37,-10.0
J.J. Redick,2006,11,Duke University,612,8.1,14967,9,4.1
Hilton Armstrong,2006,12,University of Connecticut,292,-0.7,3378,23,-3.0
Thabo Sefolosha,2006,13,,678,12.0,15615,7,9.8
Ronnie Brewer,2006,14,University of Arkansas,502,10.7,11539,8,9.0
Cedric Simmons,2006,15,North Carolina State University,75,-0.7,705,38,-4.5
Rodney Carney,2006,16,University of Memphis,299,-0.8,4600,26,-2.4
Shawne Williams,2006,17,University of Memphis,314,0.0,5368,19,-0.9
Oleksiy Pecherov,2006,18,,111,-1.3,1044,31,-1.4
Quincy Douby,2006,19,Rutgers University,143,-1.3,1535,32,-1.3
Renaldo Balkman,2006,20,University of South Carolina,221,2.2,3064,13,2.4
Rajon Rondo,2006,21,University of Kentucky,645,20.9,21202,3,21.1
Marcus Williams,2006,22,University of Connecticut,203,-2.0,3095,33,-1.4
Josh Boone,2006,23,University of Connecticut,256,0.1,4482,18,0.8
Kyle Lowry,2006,24,Villanova University,653,26.6,19814,2,27.3
Shannon Brown,2006,25,Michigan State University,408,-0.6,7329,22,0.1
Jordan Farmar,2006,26,University of California Los Angeles,502,1.6,9805,15,2.4
Sergio Rodriguez,2006,27,,285,-0.9,3763,28,0.0
Maurice Ager,2006,28,Michigan State University,82,-1.1,505,39,-2.0
Mardy Collins,2006,29,Temple University,189,-2.0,2771,34,-1.0
Joel Freeland,2006,30,,151,-0.2,1821,20,1.0
James White,2006,31,University of Cincinnati,67,-0.2,583,40,-1.6
Steve Novak,2006,32,Marquette University,459,1.6,5635,16,2.9
Solomon Jones,2006,33,University of South Florida,281,-0.7,3092,24,1.3
Paul Davis,2006,34,Michigan State University,82,-0.5,702,41,-0.9
P.J. Tucker,2006,35,University of Texas at Austin,337,7.1,9406,10,10.0
Craig Smith,2006,36,Boston College,403,0.9,6826,17,3.8
Bobby Jones,2006,37,University of Washington,91,-0.3,867,42,0
Kosta Perovic,2006,38,,7,0.0,38,43,0
David Noel,2006,39,University of North Carolina,68,-0.3,792,44,0
Denham Brown,2006,40,University of Connecticut,,,,45,0
James Augustine,2006,41,University of Illinois at Urbana-Champaign,27,0.0,156,46,0
Daniel Gibson,2006,42,University of Texas at Austin,397,2.3,9316,12,5.2
Marcus Vinicius,2006,43,,26,-0.1,172,47,0
Lior Eliyahu,2006,44,,,,,48,0
Alexander Johnson,2006,45,Florida State University,102,-0.7,1302,25,2.2
Dee Brown,2006,46,University of Illinois at Urbana-Champaign,68,-0.4,711,49,0
Paul Millsap,2006,47,Louisiana Tech University,768,30.8,22340,1,33.7
Vladimir Veremeenko,2006,48,,,,,50,0
Leon Powe,2006,49,University of California,239,-0.2,3320,21,2.7
Ryan Hollins,2006,50,University of California Los Angeles,518,-1.0,6134,29,1.9
Cheikh Samb,2006,51,,22,-0.2,114,51,0
Guillermo Diaz,2006,52,University of Miami,6,0.0,18,52,0
Yotam Halperin,2006,53,,,,,53,0
Hassan Adams,2006,54,University of Arizona,73,-0.3,547,54,0
Ejike Ugboaja,2006,55,,,,,55,0
Edin Bavcic,2006,56,,,,,56,0
Loukas Mavrokefalidis,2006,57,,,,,57,0
J.R. Pinnock,2006,58,George Washington University,,,,58,0
Damir Markota,2006,59,,30,-0.3,170,59,0
Will Blalock,2006,60,Iowa State University,14,-0.2,166,60,0
Greg Oden,2007,1,Ohio State University,105,1.6,2028,19,-40.1
Kevin Durant,2007,2,University of Texas at Austin,641,41.7,24208,1,14.5
Al Horford,2007,3,University of Florida,578,24.4,19342,4,-2.3
Mike Conley,2007,4,Ohio State University,637,18.0,20693,5,-6.4
Jeff Green,2007,5,Georgetown University,636,4.9,20360,13,-13.1
Yi Jianlian,2007,6,,272,-4.1,6038,34,-18.3
Corey Brewer,2007,7,University of Florida,629,4.4,15757,16,-7.3
Brandan Wright,2007,8,University of North Carolina,372,5.7,6121,11,-1.1
Joakim Noah,2007,9,University of Florida,572,26.7,16848,3,20.5
Spencer Hawes,2007,10,University of Washington,630,4.6,14744,14,-1.2
Acie Law,2007,11,Texas A&amp;M University,188,-2.0,2385,31,-7.7
Thaddeus Young,2007,12,Georgia Institute of Technology,665,11.7,20357,7,6.0
Julian Wright,2007,13,University of Kansas,231,0.5,3049,24,-4.4
Al Thornton,2007,14,Florida State University,296,-3.1,8274,33,-7.7
Rodney Stuckey,2007,15,Eastern Washington University,612,3.4,17194,17,-1.2
Nick Young,2007,16,University of Southern California,576,-5.7,13433,35,-10.1
Sean Williams,2007,17,Boston College,137,0.0,1978,26,-3.4
Marco Belinelli,2007,18,,570,1.2,13125,22,-1.4
Javaris Crittenton,2007,19,Georgia Institute of Technology,113,-1.1,1853,29,-2.7
Jason Smith,2007,20,Colorado State University,489,-1.4,8486,30,-2.9
Daequan Cook,2007,21,Ohio State University,328,-2.4,5993,32,-3.7
Jared Dudley,2007,22,Boston College,676,14.2,16404,6,13.0
Wilson Chandler,2007,23,DePaul University,445,4.6,13833,15,4.0
Rudy Fernandez,2007,24,,249,5.7,5965,12,5.2
Morris Almond,2007,25,Rice University,38,-0.4,361,36,-5.9
Aaron Brooks,2007,26,University of Oregon,548,1.5,12356,20,1.5
Arron Afflalo,2007,27,University of California Los Angeles,648,5.8,18567,10,6.4
Tiago Splitter,2007,28,,347,6.8,6736,8,7.6
Alando Tucker,2007,29,University of Wisconsin,51,-0.5,426,37,-4.6
Petteri Koponen,2007,30,,,,,38,-4.3
Carl Landry,2007,31,Purdue University,513,2.6,11524,18,4.6
Gabe Pruitt,2007,32,University of Southern California,62,-0.1,461,39,-3.3
Marcus Williams,2007,33,University of Arizona,13,-0.1,39,40,-2.6
Nick Fazekas,2007,34,University of Nevada Reno,26,0.1,269,41,-1.6
Glen Davis,2007,35,Louisiana State University,514,-0.8,10865,28,4.9
Jermareo Davidson,2007,36,University of Alabama,52,-0.6,433,42,0
Josh McRoberts,2007,37,Duke University,409,6.2,7884,9,11.9
Kyrylo Fesenko,2007,38,,135,-0.6,1107,27,5.1
Stanko Barac,2007,39,,,,,43,0
Sun Yue,2007,40,,10,-0.1,28,44,0
Chris Richard,2007,41,University of Florida,70,-0.3,780,45,0
Derrick Byars,2007,42,Vanderbilt University,2,0.0,37,46,0
Adam Haluska,2007,43,University of Iowa,,,,47,0
Reyshawn Terry,2007,44,University of North Carolina,,,,48,0
Jared Jordan,2007,45,Marist College,,,,49,0
Stephane Lasme,2007,46,University of Massachusetts Amherst,16,-0.1,303,50,0
Dominic McGuire,2007,47,California State University Fresno,342,0.6,5348,23,6.3
Marc Gasol,2007,48,,569,27.2,19190,2,32.9
Aaron Gray,2007,49,University of Pittsburgh,318,0.2,3851,25,5.9
Renaldas Seibutis,2007,50,,,,,51,0
JamesOn Curry,2007,51,Oklahoma State University,1,0.0,0,52,0
Taurean Green,2007,52,University of Florida,17,-0.1,74,53,0
Demetris Nichols,2007,53,Syracuse University,18,-0.2,58,54,0
Brad Newley,2007,54,,,,,55,0
Herbert Hill,2007,55,Providence College,,,,56,0
Ramon Sessions,2007,56,University of Nevada Reno,613,1.3,14916,21,7.0
Sammy Mejia,2007,57,DePaul University,,,,57,0
Giorgos Printezis,2007,58,,,,,58,0
D.J. Strawberry,2007,59,University of Maryland,33,-0.2,270,59,0
Milovan Rakovic,2007,60,,,,,60,0
Derrick Rose,2008,1,University of Memphis,406,10.6,14210,9,-25.5
Michael Beasley,2008,2,Kansas State University,453,-4.2,11038,40,-26.3
O.J. Mayo,2008,3,University of Southern California,547,5.1,16919,17,-16.2
Russell Westbrook,2008,4,University of California Los Angeles,587,36.1,19984,1,20.3
Kevin Love,2008,5,University of California Los Angeles,516,22.1,16889,2,6.5
Danilo Gallinari,2008,6,,397,9.6,12188,12,-2.8
Eric Gordon,2008,7,Indiana University,417,5.3,14148,16,-5.9
Joe Alexander,2008,8,West Virginia University,67,-0.2,745,41,-15.3
D.J. Augustin,2008,9,University of Texas at Austin,573,2.0,13852,21,-8.6
Brook Lopez,2008,10,Stanford University,487,11.2,15896,7,1.1
Jerryd Bayless,2008,11,University of Arizona,510,0.8,10833,25,-9.0
Jason Thompson,2008,12,Rider University,588,1.3,14819,24,-8.3
Brandon Rush,2008,13,University of Kansas,434,0.7,9534,26,-8.3
Anthony Randolph,2008,14,Louisiana State University,252,-0.1,3841,31,-8.3
Robin Lopez,2008,15,Stanford University,547,8.2,12082,14,0.7
Marreese Speights,2008,16,University of Florida,571,-2.9,8679,39,-8.2
Roy Hibbert,2008,17,Georgetown University,614,9.0,15707,13,3.9
JaVale McGee,2008,18,University of Nevada Reno,416,2.3,7977,20,-0.6
J.J. Hickson,2008,19,North Carolina State University,534,-0.9,11925,35,-3.3
Alexis Ajinca,2008,20,,254,-0.2,3321,32,-2.5
Ryan Anderson,2008,21,University of California,484,9.8,12592,11,7.8
Courtney Lee,2008,22,Western Kentucky University,600,7.5,16396,15,5.5
Kosta Koufos,2008,23,Ohio State University,502,2.4,7959,19,0.9
Serge Ibaka,2008,24,,524,11.1,15099,8,9.8
Nicolas Batum,2008,25,,551,21.3,17276,3,20.5
George Hill,2008,26,Indiana University-Purdue University Indianapolis,550,15.8,15813,4,15.1
Darrell Arthur,2008,27,University of Kansas,443,0.2,8165,30,-0.3
Donte Greene,2008,28,Syracuse University,253,-2.0,4259,38,-2.3
D.J. White,2008,29,Indiana University,138,-0.7,2111,33,-1.0
J.R. Giddens,2008,30,University of New Mexico,38,-0.2,247,42,-4.4
Nikola Pekovic,2008,31,,271,2.0,6744,22,2.1
Walter Sharpe,2008,32,University of Alabama at Birmingham,8,-0.1,20,43,-4.0
Joey Dorsey,2008,33,University of Memphis,130,0.3,1488,28,1.0
Mario Chalmers,2008,34,University of Kansas,580,10.1,15824,10,10.8
DeAndre Jordan,2008,35,Texas A&amp;M University,592,15.6,16051,5,16.5
Omer Asik,2008,36,,422,1.5,8552,23,2.5
Luc Mbah a Moute,2008,37,University of California Los Angeles,541,2.9,12601,18,4.8
Kyle Weaver,2008,38,Washington State University,73,0.3,1379,29,2.3
Sonny Weems,2008,39,University of Arkansas,183,-1.9,3335,37,1.0
Chris Douglas-Roberts,2008,40,University of Memphis,222,-1.0,4381,36,3.2
Nathan Jawai,2008,41,,45,-0.2,431,44,0
Sean Singletary,2008,42,University of Virginia,37,-0.2,303,45,0
Patrick Ewing,2008,43,Georgetown University,7,0.0,19,46,0
Ante Tomic,2008,44,,,,,47,0
Goran Dragic,2008,45,,574,12.4,15408,6,16.6
Trent Plaisted,2008,46,Brigham Young University Hawaii,,,,48,0
Bill Walker,2008,47,Kansas State University,181,0.5,3016,27,4.7
Malik Hairston,2008,48,University of Oregon,62,0.0,472,49,0
Richard Hendrix,2008,49,University of Alabama,,,,50,0
DeVon Hardin,2008,50,University of California,,,,51,0
Shan Foster,2008,51,Vanderbilt University,,,,52,0
Darnell Jackson,2008,52,University of Kansas,138,-0.7,1039,34,3.5
Tadija Dragicevic,2008,53,,,,,53,0
Maarty Leunen,2008,54,University of Oregon,,,,54,0
Mike Taylor,2008,55,Iowa State University,51,-0.7,771,55,0
Sasha Kaun,2008,56,University of Kansas,25,0.0,95,56,0
James Gist,2008,57,University of Maryland,,,,57,0
Joe Crawford,2008,58,University of Kentucky,2,0.0,23,58,0
Deron Washington,2008,59,Virginia Polytechnic Institute and State University,,,,59,0
Semih Erden,2008,60,,69,0.0,928,60,0
